iter	Logloss
0	0.6858136819
1	0.6788446818
2	0.6718533226
3	0.6651270452
4	0.6583673359
5	0.6517375145
6	0.6452283312
7	0.6389375952
8	0.6329785318
9	0.6274736868
10	0.6217490594
11	0.6157525614
12	0.6101928016
13	0.6045082419
14	0.5986848388
15	0.5938453004
16	0.5888059304
17	0.5841762811
18	0.5791155655
19	0.5745087546
20	0.5702724435
21	0.5655415937
22	0.5613729889
23	0.5568390297
24	0.5531754999
25	0.5487369985
26	0.544612582
27	0.5408593882
28	0.5368601753
29	0.5332591828
30	0.5297841213
31	0.5261999681
32	0.5225889628
33	0.5193221586
34	0.5158799542
35	0.5127733447
36	0.5094666863
37	0.5063529487
38	0.5033713271
39	0.5001877374
40	0.4974303222
41	0.4942470412
42	0.4915217554
43	0.4885278145
44	0.4860962959
45	0.4836181724
46	0.4811153529
47	0.4781695495
48	0.4758700812
49	0.4735407203
50	0.4713461537
51	0.4690269326
52	0.4665608051
53	0.4644544689
54	0.4621898193
55	0.4601975945
56	0.4582275758
57	0.4563312716
58	0.4544130718
59	0.4526027266
60	0.450700985
61	0.4486927249
62	0.4467366194
63	0.4451072769
64	0.443247706
65	0.4417042187
66	0.4399131002
67	0.4383632401
68	0.4368000224
69	0.4352155452
70	0.4338498157
71	0.4324142789
72	0.4309584144
73	0.4295223648
74	0.4280780622
75	0.4267075485
76	0.4254130739
77	0.4240482222
78	0.4228901648
79	0.4218191985
80	0.4206322709
81	0.4195422011
82	0.4178778805
83	0.4168816954
84	0.4156938421
85	0.4146861444
86	0.4136453504
87	0.412629228
88	0.4117449188
89	0.4107850614
90	0.4097225541
91	0.4086640804
92	0.4077164021
93	0.406759352
94	0.4057820808
95	0.4049198268
96	0.403926456
97	0.4030042709
98	0.4022176413
99	0.4010035379
100	0.4003607512
101	0.3995835827
102	0.3987668622
103	0.3980044633
104	0.3972685791
105	0.3966167612
106	0.3960027731
107	0.3952486026
108	0.3945234445
109	0.3939584382
110	0.3932888495
111	0.392716748
112	0.3920311626
113	0.3911277107
114	0.390432925
115	0.3897347437
116	0.3891960927
117	0.3886784902
118	0.3880855197
119	0.3874580268
120	0.3869325881
121	0.3864845942
122	0.3858804928
123	0.3853820579
124	0.3848116718
125	0.3843571451
126	0.3837288769
127	0.3829361769
128	0.3823328401
129	0.3818814481
130	0.3814457213
131	0.3807985772
132	0.3804039151
133	0.3797103173
134	0.3793449047
135	0.3787759408
136	0.3784175641
137	0.3778290531
138	0.3773866547
139	0.377027447
140	0.3765516724
141	0.3761053528
142	0.3756193473
143	0.3752235056
144	0.3748796596
145	0.3745508005
146	0.3742288484
147	0.3738604944
148	0.3734664517
149	0.3730256204
150	0.3725040488
151	0.3721167372
152	0.3718387565
153	0.3714255373
154	0.3712095616
155	0.3708753046
156	0.3705507596
157	0.370403941
158	0.3699473848
159	0.3696909641
160	0.3694004239
161	0.3691873871
162	0.3688054436
163	0.3683991605
164	0.3680196279
165	0.3677577337
166	0.3673724664
167	0.3671657088
168	0.3668498324
169	0.3665238911
170	0.3662310293
171	0.3659172835
172	0.3655901134
173	0.3652202704
174	0.3648384775
175	0.3645376472
176	0.3641840721
177	0.3636733241
178	0.3633372615
179	0.3630122249
180	0.3626635141
181	0.3624030609
182	0.3622017506
183	0.3619673605
184	0.3616547741
185	0.3613498185
186	0.3610765136
187	0.360699848
188	0.3605788123
189	0.3602697752
190	0.3601017929
191	0.3597176214
192	0.359501204
193	0.3593154496
194	0.3589662559
195	0.3587705183
196	0.3583447113
197	0.3581014844
198	0.357977889
199	0.3576783961
200	0.3574288583
201	0.357251363
202	0.3570533705
203	0.3565080491
204	0.3561193843
205	0.355806816
206	0.3555899301
207	0.355346439
208	0.3550026752
209	0.3547032737
210	0.3544740788
211	0.3542276962
212	0.3541027911
213	0.3539043167
214	0.3536964007
215	0.3534975509
216	0.3533688745
217	0.3531908901
218	0.3528737811
219	0.3528050866
220	0.3526403954
221	0.3524782448
222	0.3523484734
223	0.3522457083
224	0.3518869953
225	0.3516896425
226	0.3515364723
227	0.3513216539
228	0.351090153
229	0.3508330026
230	0.3505225225
231	0.3502311195
232	0.3500138963
233	0.3498482747
234	0.3495737166
235	0.3493163032
236	0.3491535389
237	0.3489252927
238	0.3486897209
239	0.3485674826
240	0.3483678802
241	0.348140568
242	0.3479084382
243	0.347667766
244	0.3475026041
245	0.3473797033
246	0.3471469501
247	0.3469038428
248	0.3467521548
249	0.3466130004
250	0.3463538207
251	0.3462580047
252	0.346083697
253	0.3459295083
254	0.3457448606
255	0.3455260634
256	0.3453934231
257	0.3451927559
258	0.3449805127
259	0.3447985411
260	0.3446683743
261	0.3444877684
262	0.3442965464
263	0.344060462
264	0.3438339939
265	0.3436041578
266	0.3434608455
267	0.3433044072
268	0.3431488164
269	0.3429705087
270	0.3428817886
271	0.342685068
272	0.3425022294
