iter	Passed	Remaining
0	1	1706
1	3	1671
2	4	1558
3	6	1576
4	7	1540
5	9	1536
6	10	1548
7	12	1530
8	13	1515
9	15	1510
10	16	1510
11	18	1511
12	19	1507
13	21	1502
14	22	1499
15	24	1504
16	25	1499
17	27	1499
18	28	1496
19	30	1500
20	32	1503
21	33	1498
22	35	1496
23	36	1500
24	38	1492
25	39	1492
26	41	1488
27	42	1487
28	44	1485
29	45	1481
30	47	1481
31	48	1474
32	50	1472
33	51	1466
34	53	1464
35	54	1461
36	56	1463
37	57	1461
38	59	1459
39	60	1457
40	62	1453
41	63	1455
42	65	1453
43	66	1450
44	68	1448
45	69	1448
46	71	1448
47	72	1447
48	74	1445
49	76	1445
50	77	1444
51	79	1442
52	80	1441
53	82	1439
54	83	1440
55	85	1437
56	86	1436
57	88	1433
58	89	1433
59	91	1433
60	92	1430
61	94	1430
62	95	1427
63	97	1428
64	99	1428
65	100	1425
66	102	1424
67	103	1423
68	105	1420
69	106	1418
70	108	1416
71	109	1415
72	111	1414
73	112	1412
74	114	1412
75	115	1409
76	117	1410
77	119	1407
78	120	1406
79	122	1404
80	123	1403
81	125	1401
82	126	1401
83	128	1398
84	129	1397
85	131	1394
86	132	1394
87	134	1391
88	135	1389
89	137	1389
90	138	1387
91	140	1387
92	142	1385
93	143	1383
94	145	1381
95	146	1380
96	148	1381
97	150	1382
98	151	1381
99	153	1379
100	155	1380
101	156	1380
102	158	1380
103	160	1378
104	161	1379
105	163	1377
106	164	1374
107	166	1374
108	167	1371
109	169	1370
110	170	1367
111	172	1364
112	173	1362
113	175	1361
114	176	1359
115	178	1357
116	179	1357
117	181	1355
118	182	1353
119	184	1352
120	185	1350
121	187	1349
122	188	1346
123	190	1345
124	191	1343
125	193	1341
126	194	1340
127	196	1338
128	198	1336
129	199	1334
130	200	1333
131	202	1330
132	203	1328
133	205	1325
134	206	1324
135	208	1322
136	209	1320
137	211	1319
138	212	1317
139	214	1316
140	215	1314
141	217	1312
142	218	1310
143	220	1308
144	221	1305
145	223	1304
146	224	1303
147	226	1301
148	227	1299
149	228	1297
150	230	1296
151	231	1293
152	233	1291
153	234	1289
154	236	1287
155	237	1286
156	239	1284
157	240	1279
158	241	1278
159	243	1276
160	244	1275
161	246	1274
162	247	1272
163	249	1271
164	250	1269
165	252	1268
166	253	1266
167	255	1264
168	257	1264
169	258	1263
170	260	1261
171	261	1259
172	263	1259
173	265	1258
174	266	1255
175	268	1254
176	269	1253
177	271	1251
178	272	1249
179	273	1247
180	275	1246
181	276	1244
182	278	1243
183	279	1241
184	281	1239
185	282	1238
186	284	1236
187	285	1234
188	287	1232
189	288	1230
190	290	1229
191	292	1229
192	293	1228
193	295	1226
194	296	1225
195	298	1224
196	299	1222
197	301	1220
198	302	1218
199	304	1217
200	305	1216
201	307	1214
202	309	1213
203	310	1211
204	311	1209
205	313	1207
206	314	1206
207	316	1204
208	317	1202
209	319	1200
210	320	1199
211	322	1198
212	323	1196
213	325	1195
214	326	1193
215	328	1191
216	329	1190
217	331	1188
218	332	1187
219	333	1184
220	335	1182
221	337	1181
222	338	1179
223	340	1177
224	341	1176
225	343	1174
226	344	1173
227	346	1171
228	347	1170
229	349	1169
230	350	1167
231	352	1166
232	353	1164
233	355	1163
234	357	1162
235	358	1160
236	360	1159
237	361	1157
238	363	1156
239	364	1154
240	366	1152
241	367	1151
242	369	1150
243	370	1149
244	372	1148
245	374	1147
246	375	1145
247	377	1144
248	379	1143
249	380	1141
250	382	1140
251	383	1139
252	385	1137
253	386	1136
254	388	1134
255	390	1133
256	391	1132
257	393	1130
258	394	1129
259	396	1128
260	398	1127
261	399	1125
262	401	1123
263	402	1122
264	404	1121
265	405	1119
266	407	1117
267	408	1116
268	410	1114
269	411	1113
270	413	1111
271	414	1110
272	416	1108
273	417	1107
274	419	1105
275	420	1104
276	422	1102
277	423	1100
278	425	1099
279	427	1098
280	428	1096
281	430	1095
282	431	1093
283	433	1092
284	434	1090
285	436	1089
286	437	1087
287	439	1085
288	440	1084
289	442	1082
290	443	1081
291	445	1079
292	446	1077
293	448	1076
294	449	1074
295	451	1073
296	452	1071
297	454	1069
298	455	1068
299	457	1066
300	458	1065
301	459	1062
302	461	1061
303	462	1059
304	464	1058
305	465	1056
306	467	1055
307	468	1053
308	470	1051
309	471	1050
310	473	1048
311	474	1047
312	476	1045
313	477	1044
314	479	1042
315	480	1040
316	482	1039
317	483	1037
318	485	1036
319	487	1035
320	488	1033
321	490	1032
322	491	1030
323	493	1029
324	494	1027
325	496	1026
326	497	1024
327	499	1023
328	500	1021
329	502	1019
330	503	1018
331	505	1016
332	506	1015
333	508	1013
334	509	1011
335	511	1010
336	512	1008
337	514	1006
338	515	1004
339	516	1003
340	518	1001
341	519	999
342	520	997
343	522	996
344	523	994
345	525	992
346	526	990
347	527	989
348	529	987
349	530	985
350	532	984
351	533	982
352	534	980
353	536	978
354	537	977
355	539	975
356	540	973
357	541	971
358	543	970
359	544	968
360	546	966
361	547	965
362	549	963
363	550	961
364	551	960
365	553	958
366	554	956
367	555	954
368	557	953
369	558	951
370	560	949
371	561	947
372	562	946
373	564	944
374	565	942
375	566	940
376	568	938
377	569	936
378	570	934
379	571	933
380	573	931
381	574	929
382	575	927
383	577	925
384	578	924
385	579	922
386	581	920
387	582	918
388	584	917
389	585	915
390	586	913
391	587	911
392	589	909
393	590	908
394	591	906
395	593	904
396	594	902
397	595	900
398	596	899
399	598	897
400	599	896
401	601	894
402	602	893
403	604	891
404	605	890
405	607	888
406	608	886
